video,prompt
af30ad86e261e478cf02fd08e176743b_cfr25.mp4,a person is talking
92fb9fb3b0bc540210c82e8a7a0acf16_cfr25.mp4,a person is talking
4d19689a8853e94bb233c616376cd6c5_cfr25.mp4,a person is talking
c5fc3b9e04b99e35c2a5924e14e59f73_cfr25.mp4,"A middle-aged woman with short blonde hair and glasses sits at a cozy kitchen table, her expression shifting from focused to concerned as she engages in a serious conversation or observes something off-camera. The woman, dressed in casual attire, is seated in a warm kitchen with a white stove, coffee pot, and decorative bottles, her attention fixed intently on something outside the frame."
d233ed97ac72fbea3312488b99ecbcf8_cfr25.mp4,"A middle-aged man, dressed in a formal business suit, stands upright in a wooded or garden area, engaged in a conversation or listening intently, his serious expression and neat hairstyle suggesting a professional demeanor. The blurred background of greenery and daytime lighting adds to the serene atmosphere of the natural setting."
a03096d7934f08216d5eb0c503603712_cfr25.mp4,a person is talking
9533197d055be85b4fa60659d9888e68_cfr25.mp4,"The video shows a single man, dressed in a dark suit and tie, standing in front of an aircraft engine in a dimly lit setting, his serious expression and engaged posture suggesting a tense conversation with someone off-camera."
e72de2caa5430eec97363399cc5fbf9c_cfr25.mp4,"The video shows a single male character, a man in his thirties with medium-length brown hair and light skin tone, sitting calmly in a dimly lit indoor setting, wearing a plaid shirt with brown, white, and black colors, as he appears to engage in a quiet conversation or moment of contemplation."
11c883a1f64defa6203ed84b946d4f98_cfr25.mp4,"The video shows a single woman, with shoulder-length, wavy brown hair and fair skin, speaking in a professional setting, likely an office, wearing a patterned blouse with white and dark tones. She stands upright, her mouth slightly open and eyes locked on the camera, surrounded by a blurred background of office furniture and a glass partition, bathed in soft, even lighting."
25d4b62e8ff3a23864556770af52d61b_cfr25.mp4,"A young adult, likely in their twenties, with dark hair and light skin tone, stands relaxed in a cozy, lived-in room with a bookshelf and framed pictures in the background, wearing a light-colored shirt over a dark t-shirt with a visible logo. They appear to be engaged in a conversation or listening intently, surrounded by the warm, soft light of a daytime setting."
f4d5422fc0542ce70bc90f33f64ada49_cfr25.mp4,"A lone figure, a middle-aged man in his forties, stands in a dimly lit, snowy outdoor setting, illuminated by street lamps and distant lights, wearing a dark beanie and a dark jacket with a light-colored fur collar. He moves subtly, exuding a contemplative air as he stands still, lost in thought amidst the quiet, wintry atmosphere."
828a56af1e7a2b87aff2adb05e3f8114_cfr25.mp4,a person is talking
f05db7dbd0bfc146a30f864e459d306c_cfr25.mp4,"In a dimly lit, indoor setting, a fair-skinned woman with braided blonde hair and a red dress with gold accents engages in a serious conversation with a bearded man, both of whom are the only people visible in the scene. The woman's expression and posture shift subtly as she speaks, set against the backdrop of a television show or movie, marked by the prominent ""HISTORY"" logo."
88feb101bd422d1f4550f260f0aa371c_cfr25.mp4,a person is talking
297da1f0f85e537b3616d90a80bf73d1_cfr25.mp4,a person is talking
61fa46f0145653ece969847dd1c8a512_cfr25.mp4,"The video shows a single individual, a young adult with a shaved head and light skin tone, dressed in a formal gray blazer, dark sweater, and striped shirt, standing in a dimly lit office or educational setting, surrounded by a whiteboard and a framed item on the wall, as they appear to be deeply engaged in thought or listening."
